_id,title,year,vote_count,vote_average
664b369af5b7b67b6665c1b1,Bumblebee,2018,5890,6.724
664b369af5b7b67b6665c1b2,Spider-Man: No Way Home,2021,19393,7.967
664b369af5b7b67b6665c1b3,Creed III,2023,2348,7.129
664b369af5b7b67b6665c1b4,Avengers: Endgame,2019,24879,8.255
664b369af5b7b67b6665c1b5,Jackie,2016,2254,6.444
664b369af5b7b67b6665c1b6,Cop Land,1997,1491,6.787
664b369af5b7b67b6665c1b7,Rocky V,1990,3054,5.772
664b369af5b7b67b6665c1b8,The Big Sleep,1946,982,7.593
664b369af5b7b67b6665c1b9,Predators,2010,3925,6.255
664b369af5b7b67b6665c1ba,Geostorm,2017,4641,6.118
664b369af5b7b67b6665c1bb,Spider-Man: Across the Spider-Verse,2023,6276,8.365
664b369af5b7b67b6665c1bc,The Dry,2021,586,6.8
664b369af5b7b67b6665c1bd,Ex Machina,2015,12864,7.573
664b369af5b7b67b6665c1be,Justice League: Crisis on Infinite Earths Part One,2024,200,7.64
664b369af5b7b67b6665c1bf,Ocean's Eight,2018,8082,6.985
664b369af5b7b67b6665c1c0,The Suicide Squad,2021,8231,7.524
664b369af5b7b67b6665c1c1,Total Recall,1990,5549,7.3
664b369af5b7b67b6665c1c2,Hustlers,2019,2847,6.479
664b369af5b7b67b6665c1c3,The Grey,2012,3708,6.564
664b369af5b7b67b6665c1c4,Eyes Wide Shut,1999,5914,7.5
664b369af5b7b67b6665c1c5,The Hunt,2020,3029,6.649
664b369af5b7b67b6665c1c6,Infested,2023,197,6.901
664b369af5b7b67b6665c1c7,Hacksaw Ridge,2016,13298,8.195
664b369af5b7b67b6665c1c8,Black Panther: Wakanda Forever,2022,6139,7.1
664b369af5b7b67b6665c1c9,Scream,1996,6644,7.423
664b369af5b7b67b6665c1ca,The Departed,2006,14439,8.168
664b369af5b7b67b6665c1cb,Planet of the Apes,1968,3352,7.654
664b369af5b7b67b6665c1cc,Free Guy,2021,8289,7.508
664b369af5b7b67b6665c1cd,The Boy and the Heron,2023,1222,7.426
664b369af5b7b67b6665c1ce,American Beauty,1999,11716,8
664b369af5b7b67b6665c1cf,The New Mutants,2020,3278,6.113
664b369af5b7b67b6665c1d0,Hellraiser,1987,2416,6.885
664b369af5b7b67b6665c1d1,Love Lies Bleeding,2024,175,6.7
664b369af5b7b67b6665c1d2,Uncut Gems,2019,4534,7.149
664b369af5b7b67b6665c1d3,Wind River,2017,4990,7.433
664b369af5b7b67b6665c1d4,The First Omen,2024,145,6.6
664b369af5b7b67b6665c1d5,The Ministry of Ungentlemanly Warfare,2024,186,7.2
664b369af5b7b67b6665c1d6,Predator 2,1990,3113,6.285
664b369af5b7b67b6665c1d7,Elemental,2023,4027,7.658
664b369af5b7b67b6665c1d8,It,2017,18578,7.24
664b369af5b7b67b6665c1d9,Dumb and Dumber,1994,5882,6.625
664b369af5b7b67b6665c1da,Heat,1995,6997,7.918
664b369af5b7b67b6665c1db,Toy Story 4,2019,9474,7.5
664b369af5b7b67b6665c1dc,Monkey Man,2024,391,7.183
664b369af5b7b67b6665c1dd,Godzilla vs. Kong,2021,9684,7.619
664b369af5b7b67b6665c1de,Prometheus,2012,11729,6.549
664b369af5b7b67b6665c1df,Cocaine Bear,2023,1842,6.096
664b369af5b7b67b6665c1e0,X-Men: Apocalypse,2016,12603,6.514
664b369af5b7b67b6665c1e1,Gemini Man,2019,4951,6.3
664b369af5b7b67b6665c1e2,Blue Velvet,1986,3159,7.623
664b369af5b7b67b6665c1e3,Blue Velvet,1986,3159,7.623
664b369af5b7b67b6665c1e4,Return of the Jedi,1983,15218,7.9
664b369af5b7b67b6665c1e5,True Romance,1993,2603,7.54
664b369af5b7b67b6665c1e6,The Net,1995,1279,6.014
664b369af5b7b67b6665c1e7,The Layover,2017,678,5.383
664b369af5b7b67b6665c1e8,Late Night with the Devil,2024,368,7.291
664b369af5b7b67b6665c1e9,The Irishman,2019,6562,7.605
664b369af5b7b67b6665c1ea,Logan's Run,1976,897,6.6
664b369af5b7b67b6665c1eb,Fargo,1996,7758,7.863
664b369af5b7b67b6665c1ec,Transformers: Rise of the Beasts,2023,4255,7.339
664b369af5b7b67b6665c1ed,Red Sparrow,2018,5779,6.532
664b369af5b7b67b6665c1ee,The Emoji Movie,2017,2958,5.45
664b369af5b7b67b6665c1ef,Suicide Squad,2016,20649,5.912
664b369af5b7b67b6665c1f0,The Island,2005,5198,6.674
664b369af5b7b67b6665c1f1,The King's Man,2021,4274,6.763
664b369af5b7b67b6665c1f2,The Fabelmans,2022,2125,7.651
664b369af5b7b67b6665c1f3,Imaginary,2024,287,6.3
664b369af5b7b67b6665c1f4,Batman Begins,2005,20379,7.706
664b369af5b7b67b6665c1f5,Whiplash,2014,14624,8.382
664b369af5b7b67b6665c1f6,Creepshow 2,1987,531,6.219
664b369af5b7b67b6665c1f7,The Tearsmith,2024,538,6.527
664b369af5b7b67b6665c1f8,The 'Burbs,1989,1159,6.748
664b369af5b7b67b6665c1f9,Hard Hit,2021,178,7.685
664b369af5b7b67b6665c1fa,Ready or Not,2019,4173,7.06
664b369af5b7b67b6665c1fb,Gold,2016,1572,6.6
664b369af5b7b67b6665c1fc,Wings,1927,254,7.2
664b369af5b7b67b6665c1fd,Jigsaw,2017,3537,6.227
664b369af5b7b67b6665c1fe,U.S. Marshals,1998,1522,6.501
664b369af5b7b67b6665c1ff,Contagion,2011,5903,6.64
664b369af5b7b67b6665c200,Thelma,2017,980,6.833
664b369af5b7b67b6665c201,Solaris,2002,1248,5.904
664b369af5b7b67b6665c202,Avatar: The Way of Water,2022,11283,7.624
664b369af5b7b67b6665c203,Cell,2016,1016,4.683
664b369af5b7b67b6665c204,The Godfather Part III,1990,5952,7.425
664b369af5b7b67b6665c205,Forrest Gump,1994,26619,8.475
664b369af5b7b67b6665c206,Highlander,1986,2491,6.897
664b369af5b7b67b6665c207,Bohemian Rhapsody,2018,16480,7.988
664b369af5b7b67b6665c208,Hocus Pocus 2,2022,1573,7.261
664b369af5b7b67b6665c209,Quantum of Solace,2008,7610,6.326
664b369af5b7b67b6665c20a,SuperFly,2018,369,6.767
664b369af5b7b67b6665c20b,Terminator Genisys,2015,8151,5.94
664b369af5b7b67b6665c20c,John Wick: Chapter 4,2023,5934,7.739
664b369af5b7b67b6665c20d,Brooklyn,2015,3009,7.315
664b369af5b7b67b6665c20e,Napoleon,2023,2091,6.468
664b369af5b7b67b6665c20f,Thor: Love and Thunder,2022,7160,6.469
664b369af5b7b67b6665c210,Code 8 Part II,2024,459,6.441
664b369af5b7b67b6665c211,Gilda,1946,549,7.5
664b369af5b7b67b6665c212,Puss in Boots: The Last Wish,2022,7269,8.237
664b369af5b7b67b6665c213,Baghead,2023,199,6.714
664b369af5b7b67b6665c214,Aquaman and the Lost Kingdom,2023,2363,6.77
664b369af5b7b67b6665c215,Freelance,2023,770,6.538
664b369af5b7b67b6665c216,Passengers,2016,12877,6.9
664b369af5b7b67b6665c217,Platoon,1986,4354,7.746
664b369af5b7b67b6665c218,Westworld,1973,1234,6.771
664b369af5b7b67b6665c219,The Prestige,2006,15478,8.203
664b369af5b7b67b6665c21a,Buffaloed,2020,224,6.723
664b369af5b7b67b6665c21b,Shrek 2,2004,11866,7.268
664b369af5b7b67b6665c21c,Blockers,2018,1932,6.307
